PID#,CHECK,NO#,STREET,ACCT#,TOTAL ASSESS,diff in value,Diff in assessment,TAXES,LAST YR,LAST YR TAXES,DIFF,%CHANGE,TAXES,AddressOne,AddressTwo
###,U21025000000,26,FARM HILL ROAD,D0200R,"194,800.00",0.20%,"33,100.00","$1,868.00","161,700.00","$3,612.00","-$1,745.00",-48%,DOWN,"26 Farm Hill Road Cape Elizabeth, ME 04107","'26 Farm Hill Road Cape Elizabeth, ME 04107',"
###,U21023000000,22,FARM HILL ROAD,D0523R,"564,300.00",0.75%,"241,000.00","$6,207.00","323,300.00","$7,223.00","-$1,015.00",-14%,DOWN,"22 Farm Hill Road Cape Elizabeth, ME 04107","'22 Farm Hill Road Cape Elizabeth, ME 04107',"
###,U21086000000,17,FARM HILL ROAD,K0339R,"540,000.00",1.09%,"281,200.00","$5,665.00","258,800.00","$5,782.00",-$117.00,-2%,ABOUT SAME,"17 Farm Hill Road Cape Elizabeth, ME 04107","'17 Farm Hill Road Cape Elizabeth, ME 04107',"
###,U21092000000,5,FARM HILL ROAD,L0622R,"542,200.00",1.17%,"292,900.00","$5,623.00","249,300.00","$5,569.00",$54.00,1%,ABOUT SAME,"5 Farm Hill Road Cape Elizabeth, ME 04107","'5 Farm Hill Road Cape Elizabeth, ME 04107',"
###,U21031000000,38,FARM HILL ROAD,R0065R,"522,300.00",1.28%,"293,200.00","$5,470.00","229,100.00","$5,118.00",$352.00,7%,ABOUT SAME,"38 Farm Hill Road Cape Elizabeth, ME 04107","'38 Farm Hill Road Cape Elizabeth, ME 04107',"
###,U21019000000,14,FARM HILL ROAD,F0966R,"516,100.00",1.31%,"292,800.00","$5,402.00","223,300.00","$4,989.00",$414.00,8%,ABOUT SAME,"14 Farm Hill Road Cape Elizabeth, ME 04107","'14 Farm Hill Road Cape Elizabeth, ME 04107',"
###,U21021000000,18,FARM HILL ROAD,G1289R,"449,800.00",1.40%,"262,700.00","$4,673.00","187,100.00","$4,180.00",$493.00,12%,ABOUT SAME,"18 Farm Hill Road Cape Elizabeth, ME 04107","'18 Farm Hill Road Cape Elizabeth, ME 04107',"
###,U21018000000,12,FARM HILL ROAD,C0027R,"563,800.00",1.28%,"316,400.00","$6,202.00","247,400.00","$5,527.00",$675.00,12%,UP,"12 Farm Hill Road Cape Elizabeth, ME 04107","'12 Farm Hill Road Cape Elizabeth, ME 04107',"
###,U21014000000,4,FARM HILL ROAD,B0960R,"502,600.00",1.45%,"297,400.00","$5,188.00","205,200.00","$4,584.00",$603.00,13%,UP,"4 Farm Hill Road Cape Elizabeth, ME 04107","'4 Farm Hill Road Cape Elizabeth, ME 04107',"
723,U21017000000,10,FARM HILL ROAD,W0350R,"529,500.00",1.42%,"310,600.00","$5,550.00","218,900.00","$4,890.00",$659.00,13%,UP,"10 Farm Hill Road Cape Elizabeth, ME 04107","'10 Farm Hill Road Cape Elizabeth, ME 04107',"
###,U21120000000,27,FARM HILL ROAD,B1745R,"450,400.00",1.47%,"267,700.00","$4,679.00","182,700.00","$4,082.00",$598.00,15%,UP,"27 Farm Hill Road Cape Elizabeth, ME 04107","'27 Farm Hill Road Cape Elizabeth, ME 04107',"
550,U21015000000,6,FARM HILL ROAD,C2210R,"477,500.00",1.50%,"286,500.00","$4,978.00","191,000.00","$4,267.00",$711.00,17%,UP,"6 Farm Hill Road Cape Elizabeth, ME 04107","'6 Farm Hill Road Cape Elizabeth, ME 04107',"
###,U21016000000,8,FARM HILL ROAD,C2571R,"464,200.00",1.38%,"269,500.00","$5,106.00","194,700.00","$4,350.00",$757.00,17%,UP,"8 Farm Hill Road Cape Elizabeth, ME 04107","'8 Farm Hill Road Cape Elizabeth, ME 04107',"
###,U21088000000,13,FARM HILL ROAD,J0336R,"463,000.00",1.39%,"269,400.00","$5,093.00","193,600.00","$4,325.00",$768.00,18%,UP,"13 Farm Hill Road Cape Elizabeth, ME 04107","'13 Farm Hill Road Cape Elizabeth, ME 04107',"
###,U21119000000,29,FARM HILL ROAD,E0322R,"499,700.00",1.42%,"293,200.00","$5,497.00","206,500.00","$4,613.00",$883.00,19%,UP,"29 Farm Hill Road Cape Elizabeth, ME 04107","'29 Farm Hill Road Cape Elizabeth, ME 04107',"
###,U21090000000,9,FARM HILL ROAD,G0506R,"478,000.00",1.57%,"291,900.00","$4,983.00","186,100.00","$4,157.00",$826.00,20%,UP,"9 Farm Hill Road Cape Elizabeth, ME 04107","'9 Farm Hill Road Cape Elizabeth, ME 04107',"
734,U21028000000,32,FARM HILL ROAD,M2530R,"528,900.00",1.60%,"325,600.00","$5,477.00","203,300.00","$4,542.00",$935.00,21%,UP,"32 Farm Hill Road Cape Elizabeth, ME 04107","'32 Farm Hill Road Cape Elizabeth, ME 04107',"
626,U21091000000,7,FARM HILL ROAD,C0340R,"483,500.00",1.47%,"287,500.00","$5,319.00","196,000.00","$4,379.00",$940.00,21%,UP,"7 Farm Hill Road Cape Elizabeth, ME 04107","'7 Farm Hill Road Cape Elizabeth, ME 04107',"
###,U21032000000,40,FARM HILL ROAD,G1360R,"445,400.00",1.72%,"281,800.00","$4,558.00","163,600.00","$3,655.00",$904.00,25%,UP,"40 Farm Hill Road Cape Elizabeth, ME 04107","'40 Farm Hill Road Cape Elizabeth, ME 04107',"
###,U21087000000,15,FARM HILL ROAD,G0066R,"483,400.00",1.67%,"302,200.00","$5,042.00","181,200.00","$4,048.00",$994.00,25%,UP,"15 Farm Hill Road Cape Elizabeth, ME 04107","'15 Farm Hill Road Cape Elizabeth, ME 04107',"
###,U21020000000,16,FARM HILL ROAD,C1270R,"487,300.00",1.67%,"305,100.00","$5,085.00","182,200.00","$4,070.00","$1,015.00",25%,UP,"16 Farm Hill Road Cape Elizabeth, ME 04107","'16 Farm Hill Road Cape Elizabeth, ME 04107',"
###,U21013000000,2,FARM HILL ROAD,S2178R,"468,300.00",1.57%,"285,800.00","$5,151.00","182,500.00","$4,077.00","$1,074.00",26%,UP,"2 Farm Hill Road Cape Elizabeth, ME 04107","'2 Farm Hill Road Cape Elizabeth, ME 04107',"
418,U21150000000,39,FARM HILL ROAD,P0492R,"475,200.00",1.72%,"300,500.00","$4,952.00","174,700.00","$3,903.00","$1,049.00",27%,UP,"39 Farm Hill Road Cape Elizabeth, ME 04107","'39 Farm Hill Road Cape Elizabeth, ME 04107',"
827,U21022000000,20,FARM HILL ROAD,W1823R,"439,400.00",1.60%,"270,100.00","$4,833.00","169,300.00","$3,782.00","$1,051.00",28%,UP,"20 Farm Hill Road Cape Elizabeth, ME 04107","'20 Farm Hill Road Cape Elizabeth, ME 04107',"
198,U21118000000,31,FARM HILL ROAD,M1028R,"450,200.00",1.62%,"278,400.00","$4,952.00","171,800.00","$3,838.00","$1,114.00",29%,UP,"31 Farm Hill Road Cape Elizabeth, ME 04107","'31 Farm Hill Road Cape Elizabeth, ME 04107',"
###,U21149000000,41,FARM HILL ROAD,G0620R,"443,600.00",1.79%,"284,800.00","$4,605.00","158,800.00","$3,548.00","$1,057.00",30%,UP,"41 Farm Hill Road Cape Elizabeth, ME 04107","'41 Farm Hill Road Cape Elizabeth, ME 04107',"
###,U21116000000,35,FARM HILL ROAD,B1160R,"513,600.00",1.81%,"331,100.00","$5,300.00","182,500.00","$4,077.00","$1,223.00",30%,UP,"35 Farm Hill Road Cape Elizabeth, ME 04107","'35 Farm Hill Road Cape Elizabeth, ME 04107',"
###,U21030000000,36,FARM HILL ROAD,T0623R,"458,900.00",1.85%,"297,700.00","$4,707.00","161,200.00","$3,601.00","$1,106.00",31%,UP,"36 Farm Hill Road Cape Elizabeth, ME 04107","'36 Farm Hill Road Cape Elizabeth, ME 04107',"
427,U21117000000,33,FARM HILL ROAD,L1230R,"537,600.00",1.79%,"344,800.00","$5,639.00","192,800.00","$4,307.00","$1,331.00",31%,UP,"33 Farm Hill Road Cape Elizabeth, ME 04107","'33 Farm Hill Road Cape Elizabeth, ME 04107',"
###,U21094000000,1,FARM HILL ROAD,C1059R,"391,000.00",1.71%,"246,800.00","$4,301.00","144,200.00","$3,221.00","$1,080.00",34%,UP,"1 Farm Hill Road Cape Elizabeth, ME 04107","'1 Farm Hill Road Cape Elizabeth, ME 04107',"
492,U21026000000,28,FARM HILL ROAD,D1393R,"452,900.00",1.89%,"296,400.00","$4,707.00","156,500.00","$3,496.00","$1,211.00",35%,UP,"28 Farm Hill Road Cape Elizabeth, ME 04107","'28 Farm Hill Road Cape Elizabeth, ME 04107',"
997,U21027000000,30,FARM HILL ROAD,M2788R,"461,400.00",1.74%,"292,700.00","$5,075.00","168,700.00","$3,769.00","$1,307.00",35%,UP,"30 Farm Hill Road Cape Elizabeth, ME 04107","'30 Farm Hill Road Cape Elizabeth, ME 04107',"
###,U21093000000,3,FARM HILL ROAD,S2220R,"449,200.00",2.01%,"299,800.00","$4,600.00","149,400.00","$3,338.00","$1,263.00",38%,UP,"3 Farm Hill Road Cape Elizabeth, ME 04107","'3 Farm Hill Road Cape Elizabeth, ME 04107',"
###,U21089000000,11,FARM HILL ROAD,S3003R,"456,300.00",2.06%,"307,000.00","$4,744.00","149,300.00","$3,335.00","$1,409.00",42%,UP,"11 Farm Hill Road Cape Elizabeth, ME 04107","'11 Farm Hill Road Cape Elizabeth, ME 04107',"
613,U21024000000,24,FARM HILL ROAD,B3180R,"445,700.00",1.96%,"295,100.00","$4,903.00","150,600.00","$3,364.00","$1,538.00",46%,UP,"24 Farm Hill Road Cape Elizabeth, ME 04107","'24 Farm Hill Road Cape Elizabeth, ME 04107',"
###,U21029000000,34,FARM HILL ROAD,R0472R,"500,900.00",2.31%,"349,600.00","$5,235.00","151,300.00","$3,380.00","$1,855.00",55%,UP,"34 Farm Hill Road Cape Elizabeth, ME 04107","'34 Farm Hill Road Cape Elizabeth, ME 04107',"
###,U53004000000,12,FARMS EDGE ROAD,R0003R,"1,235,200.00",0.87%,"576,300.00","$13,587.00","658,900.00","$14,720.00","-$1,133.00",-8%,DOWN,"12 Farms Edge Road Cape Elizabeth, ME 04107","'12 Farms Edge Road Cape Elizabeth, ME 04107',"
###,U53006000000,4,FARMS EDGE ROAD,D1934R,"1,306,900.00",1.10%,"686,000.00","$14,101.00","620,900.00","$13,871.00",$230.00,2%,ABOUT SAME,"4 Farms Edge Road Cape Elizabeth, ME 04107","'4 Farms Edge Road Cape Elizabeth, ME 04107',"
804,U53005000000,8,FARMS EDGE ROAD,T1526R,"964,600.00",1.20%,"526,900.00","$10,336.00","437,700.00","$9,778.00",$557.00,6%,UP,"8 Farms Edge Road Cape Elizabeth, ME 04107","'8 Farms Edge Road Cape Elizabeth, ME 04107',"
###,U53008000000,5,FARMS EDGE ROAD,Z0068R,"1,315,700.00",1.33%,"751,700.00","$14,198.00","564,000.00","$12,600.00","$1,598.00",13%,UP,"5 Farms Edge Road Cape Elizabeth, ME 04107","'5 Farms Edge Road Cape Elizabeth, ME 04107',"
###,U53007000000,11,FARMS EDGE ROAD,H0512R,"1,259,600.00",1.52%,"759,100.00","$13,581.00","500,500.00","$11,181.00","$2,399.00",21%,UP,"11 Farms Edge Road Cape Elizabeth, ME 04107","'11 Farms Edge Road Cape Elizabeth, ME 04107',"
429,U53002000000,20,FARMS EDGE ROAD,R1324R,"1,250,200.00",1.57%,"763,800.00","$13,477.00","486,400.00","$10,866.00","$2,611.00",24%,UP,"20 Farms Edge Road Cape Elizabeth, ME 04107","'20 Farms Edge Road Cape Elizabeth, ME 04107',"
###,U53003000000,16,FARMS EDGE ROAD,M0300R,"1,659,300.00",1.56%,"1,010,200.00","$18,252.00","649,100.00","$14,501.00","$3,751.00",26%,UP,"16 Farms Edge Road Cape Elizabeth, ME 04107","'16 Farms Edge Road Cape Elizabeth, ME 04107',"
###,U53001000000,24,FARMS EDGE ROAD,F1185R,"1,503,400.00",1.61%,"927,000.00","$16,537.00","576,400.00","$12,877.00","$3,661.00",28%,UP,"24 Farms Edge Road Cape Elizabeth, ME 04107","'24 Farms Edge Road Cape Elizabeth, ME 04107',"
###,U53009A 000,0,FARMS EDGE ROAD,Z0120R,"57,000.00",1.81%,"36,700.00",$627.00,"20,300.00",$454.00,$173.00,38%,ABOUT SAME,"0 Farms Edge Road Cape Elizabeth, ME 04107","'0 Farms Edge Road Cape Elizabeth, ME 04107',"
###,U44017000000,15,FENWAY ROAD,R0411R,"593,500.00",1.09%,"309,500.00","$6,254.00","284,000.00","$6,345.00",-$91.00,-1%,ABOUT SAME,"15 Fenway Road Cape Elizabeth, ME 04107","'15 Fenway Road Cape Elizabeth, ME 04107',"
249,U44010000000,4,FENWAY ROAD,B2021R,"497,900.00",1.15%,"266,100.00","$5,477.00","231,800.00","$5,178.00",$298.00,6%,ABOUT SAME,"4 Fenway Road Cape Elizabeth, ME 04107","'4 Fenway Road Cape Elizabeth, ME 04107',"
###,U44012000000,8,FENWAY ROAD,M2495R,"562,900.00",1.25%,"313,000.00","$6,192.00","249,900.00","$5,583.00",$609.00,11%,UP,"8 Fenway Road Cape Elizabeth, ME 04107","'8 Fenway Road Cape Elizabeth, ME 04107',"
###,U44022000000,5,FENWAY ROAD,H0680R,"490,000.00",1.27%,"274,000.00","$5,390.00","216,000.00","$4,825.00",$565.00,12%,UP,"5 Fenway Road Cape Elizabeth, ME 04107","'5 Fenway Road Cape Elizabeth, ME 04107',"
###,U44020000000,9,FENWAY ROAD,R0888R,"531,100.00",1.28%,"298,300.00","$5,842.00","232,800.00","$5,201.00",$641.00,12%,UP,"9 Fenway Road Cape Elizabeth, ME 04107","'9 Fenway Road Cape Elizabeth, ME 04107',"
###,U44016000000,16,FENWAY ROAD,B2780R,"561,000.00",1.29%,"315,800.00","$6,171.00","245,200.00","$5,478.00",$693.00,13%,UP,"16 Fenway Road Cape Elizabeth, ME 04107","'16 Fenway Road Cape Elizabeth, ME 04107',"
###,U44009000000,2,FENWAY ROAD,J1115R,"596,000.00",1.40%,"347,400.00","$6,281.00","248,600.00","$5,554.00",$727.00,13%,UP,"2 Fenway Road Cape Elizabeth, ME 04107","'2 Fenway Road Cape Elizabeth, ME 04107',"
###,U44023000000,3,FENWAY ROAD,L1408R,"510,700.00",1.48%,"305,100.00","$5,343.00","205,600.00","$4,593.00",$750.00,16%,UP,"3 Fenway Road Cape Elizabeth, ME 04107","'3 Fenway Road Cape Elizabeth, ME 04107',"
###,U44014000000,12,FENWAY ROAD,C0734R,"556,100.00",1.47%,"330,600.00","$5,842.00","225,500.00","$5,038.00",$804.00,16%,UP,"12 Fenway Road Cape Elizabeth, ME 04107","'12 Fenway Road Cape Elizabeth, ME 04107',"
309,U44021000000,7,FENWAY ROAD,T1597R,"513,100.00",1.50%,"307,700.00","$5,369.00","205,400.00","$4,589.00",$780.00,17%,UP,"7 Fenway Road Cape Elizabeth, ME 04107","'7 Fenway Road Cape Elizabeth, ME 04107',"
###,U44018000000,13,FENWAY ROAD,A0270R,"496,500.00",1.39%,"288,900.00","$5,462.00","207,600.00","$4,638.00",$824.00,18%,UP,"13 Fenway Road Cape Elizabeth, ME 04107","'13 Fenway Road Cape Elizabeth, ME 04107',"
###,U44019000000,11,FENWAY ROAD,E0201R,"531,600.00",1.43%,"313,200.00","$5,848.00","218,400.00","$4,879.00",$969.00,20%,UP,"11 Fenway Road Cape Elizabeth, ME 04107","'11 Fenway Road Cape Elizabeth, ME 04107',"
226,U44013000000,10,FENWAY ROAD,H1469R,"680,600.00",1.55%,"413,600.00","$7,212.00","267,000.00","$5,965.00","$1,247.00",21%,UP,"10 Fenway Road Cape Elizabeth, ME 04107","'10 Fenway Road Cape Elizabeth, ME 04107',"
###,U44011000000,6,FENWAY ROAD,R0234R,"502,600.00",1.56%,"306,300.00","$5,529.00","196,300.00","$4,385.00","$1,143.00",26%,UP,"6 Fenway Road Cape Elizabeth, ME 04107","'6 Fenway Road Cape Elizabeth, ME 04107',"
###,U44024000000,1,FENWAY ROAD,S2920R,"517,000.00",1.81%,"332,800.00","$5,412.00","184,200.00","$4,115.00","$1,297.00",32%,UP,"1 Fenway Road Cape Elizabeth, ME 04107","'1 Fenway Road Cape Elizabeth, ME 04107',"
###,U44015000000,14,FENWAY ROAD,R1622R,"648,600.00",1.78%,"415,400.00","$7,135.00","233,200.00","$5,210.00","$1,925.00",37%,UP,"14 Fenway Road Cape Elizabeth, ME 04107","'14 Fenway Road Cape Elizabeth, ME 04107',"
###,R09009000000,0,FERN TRAIL,S5067R,"7,000.00",-0.54%,"-8,100.00",$77.00,"15,100.00",$337.00,-$260.00,-77%,ABOUT SAME,"0 Fern Trail Cape Elizabeth, ME 04107","'0 Fern Trail Cape Elizabeth, ME 04107',"
290,R09010003000,0,FERN TRAIL,S5074R,800.00,1.00%,400.00,$9.00,400.00,$9.00,$0.00,-2%,ABOUT SAME,"0 Fern Trail Cape Elizabeth, ME 04107","'0 Fern Trail Cape Elizabeth, ME 04107',"
###,R09010004000,0,FERN TRAIL,S5075R,800.00,1.00%,400.00,$9.00,400.00,$9.00,$0.00,-2%,ABOUT SAME,"0 Fern Trail Cape Elizabeth, ME 04107","'0 Fern Trail Cape Elizabeth, ME 04107',"
394,R09010A 000,0,FERN TRAIL,S7013R,"153,800.00",2.59%,"111,000.00","$1,692.00","42,800.00",$956.00,$736.00,77%,UP,"0 Fern Trail Cape Elizabeth, ME 04107","'0 Fern Trail Cape Elizabeth, ME 04107',"
###,U34017003000,1,FERNWOOD LANE,M0710R,"402,700.00",0.31%,"95,200.00","$4,430.00","307,500.00","$6,870.00","-$2,440.00",-36%,DOWN,"1 Fernwood Lane Cape Elizabeth, ME 04107","'1 Fernwood Lane Cape Elizabeth, ME 04107',"
361,U34017006000,7,FERNWOOD LANE,L0540R,"922,200.00",0.74%,"392,000.00","$10,144.00","530,200.00","$11,845.00","-$1,700.00",-14%,DOWN,"7 Fernwood Lane Cape Elizabeth, ME 04107","'7 Fernwood Lane Cape Elizabeth, ME 04107',"
###,U34017008000,4,FERNWOOD LANE,R1236R,"721,900.00",0.83%,"327,500.00","$7,666.00","394,400.00","$8,811.00","-$1,145.00",-13%,DOWN,"4 Fernwood Lane Cape Elizabeth, ME 04107","'4 Fernwood Lane Cape Elizabeth, ME 04107',"
###,U34017005000,5,FERNWOOD LANE,D0124R,"746,800.00",0.89%,"351,200.00","$7,940.00","395,600.00","$8,838.00",-$898.00,-10%,DOWN,"5 Fernwood Lane Cape Elizabeth, ME 04107","'5 Fernwood Lane Cape Elizabeth, ME 04107',"
###,U34017004000,3,FERNWOOD LANE,F1190R,"798,300.00",1.01%,"401,400.00","$8,506.00","396,900.00","$8,867.00",-$360.00,-4%,ABOUT SAME,"3 Fernwood Lane Cape Elizabeth, ME 04107","'3 Fernwood Lane Cape Elizabeth, ME 04107',"
###,U34017009000,2,FERNWOOD LANE,K0148R,"775,100.00",1.04%,"394,400.00","$8,251.00","380,700.00","$8,505.00",-$254.00,-3%,ABOUT SAME,"2 Fernwood Lane Cape Elizabeth, ME 04107","'2 Fernwood Lane Cape Elizabeth, ME 04107',"
###,U39010000000,0,FESSENDEN ROAD,W1791R,"9,100.00",0.21%,"1,600.00",$100.00,"7,500.00",$168.00,-$67.00,-40%,ABOUT SAME,"0 Fessenden Road Cape Elizabeth, ME 04107","'0 Fessenden Road Cape Elizabeth, ME 04107',"
###,U16020000000,21,FESSENDEN ROAD,L1251R,"899,700.00",0.36%,"236,400.00","$9,622.00","663,300.00","$14,818.00","-$5,196.00",-35%,DOWN,"21 Fessenden Road Cape Elizabeth, ME 04107","'21 Fessenden Road Cape Elizabeth, ME 04107',"
###,U16064000000,18,FESSENDEN ROAD,B0121R,"748,200.00",0.36%,"197,100.00","$8,230.00","551,100.00","$12,312.00","-$4,081.00",-33%,DOWN,"18 Fessenden Road Cape Elizabeth, ME 04107","'18 Fessenden Road Cape Elizabeth, ME 04107',"
977,U16021000000,19,FESSENDEN ROAD,M0960R,"1,768,700.00",0.66%,"702,200.00","$19,117.00","1,066,500.00","$23,826.00","-$4,709.00",-20%,DOWN,"19 Fessenden Road Cape Elizabeth, ME 04107","'19 Fessenden Road Cape Elizabeth, ME 04107',"
###,U39011000000,7,FESSENDEN ROAD,W1800R,"421,000.00",0.83%,"190,600.00","$4,631.00","230,400.00","$5,147.00",-$516.00,-10%,DOWN,"7 Fessenden Road Cape Elizabeth, ME 04107","'7 Fessenden Road Cape Elizabeth, ME 04107',"
###,U39012000000,11,FESSENDEN ROAD,S2136R,"947,800.00",1.07%,"489,600.00","$10,426.00","458,200.00","$10,236.00",$190.00,2%,ABOUT SAME,"11 Fessenden Road Cape Elizabeth, ME 04107","'11 Fessenden Road Cape Elizabeth, ME 04107',"
###,R03046000000,4,FESSENDEN ROAD,W0232R,"816,800.00",2.28%,"568,100.00","$8,985.00","248,700.00","$5,556.00","$3,429.00",62%,UP,"4 Fessenden Road Cape Elizabeth, ME 04107","'4 Fessenden Road Cape Elizabeth, ME 04107',"
###,R04051005000,221,FICKETT STREET,M0827R,"1,036,300.00",0.78%,"455,300.00","$11,124.00","581,000.00","$12,980.00","-$1,855.00",-14%,DOWN,"221 Fickett Street Cape Elizabeth, ME 04107","'221 Fickett Street Cape Elizabeth, ME 04107',"
808,R04051002000,215,FICKETT STREET,M0040R,"897,000.00",0.80%,"398,100.00","$9,592.00","498,900.00","$11,145.00","-$1,553.00",-14%,DOWN,"215 Fickett Street Cape Elizabeth, ME 04107","'215 Fickett Street Cape Elizabeth, ME 04107',"
###,R04047001000,222,FICKETT STREET,K0003R,"774,600.00",1.01%,"389,300.00","$8,246.00","385,300.00","$8,608.00",-$362.00,-4%,ABOUT SAME,"222 Fickett Street Cape Elizabeth, ME 04107","'222 Fickett Street Cape Elizabeth, ME 04107',"
###,R04051001000,213,FICKETT STREET,B2879R,"1,137,300.00",1.02%,"573,100.00","$12,235.00","564,200.00","$12,604.00",-$369.00,-3%,ABOUT SAME,"213 Fickett Street Cape Elizabeth, ME 04107","'213 Fickett Street Cape Elizabeth, ME 04107',"
100,R04047002000,220,FICKETT STREET,F1142R,"1,175,800.00",1.36%,"677,300.00","$12,659.00","498,500.00","$11,136.00","$1,522.00",14%,UP,"220 Fickett Street Cape Elizabeth, ME 04107","'220 Fickett Street Cape Elizabeth, ME 04107',"
###,U23002017000,10,FIELDSTONE ROAD,B2563R,"613,800.00",1.09%,"319,900.00","$6,477.00","293,900.00","$6,566.00",-$89.00,-1%,ABOUT SAME,"10 Fieldstone Road Cape Elizabeth, ME 04107","'10 Fieldstone Road Cape Elizabeth, ME 04107',"
###,U23002019000,18,FIELDSTONE ROAD,S2740R,"662,500.00",1.05%,"339,100.00","$7,288.00","323,400.00","$7,225.00",$63.00,1%,ABOUT SAME,"18 Fieldstone Road Cape Elizabeth, ME 04107","'18 Fieldstone Road Cape Elizabeth, ME 04107',"
###,U23002018000,14,FIELDSTONE ROAD,U0044R,"560,800.00",1.15%,"299,500.00","$6,169.00","261,300.00","$5,837.00",$331.00,6%,ABOUT SAME,"14 Fieldstone Road Cape Elizabeth, ME 04107","'14 Fieldstone Road Cape Elizabeth, ME 04107',"
###,U23002014000,17,FIELDSTONE ROAD,S2494R,"619,900.00",1.16%,"333,100.00","$6,819.00","286,800.00","$6,407.00",$412.00,6%,ABOUT SAME,"17 Fieldstone Road Cape Elizabeth, ME 04107","'17 Fieldstone Road Cape Elizabeth, ME 04107',"
###,U23002015000,11,FIELDSTONE ROAD,C2555R,"558,100.00",1.37%,"322,300.00","$5,864.00","235,800.00","$5,268.00",$596.00,11%,UP,"11 Fieldstone Road Cape Elizabeth, ME 04107","'11 Fieldstone Road Cape Elizabeth, ME 04107',"
###,U23002016000,7,FIELDSTONE ROAD,T1302R,"628,000.00",1.31%,"356,200.00","$6,908.00","271,800.00","$6,072.00",$836.00,14%,UP,"7 Fieldstone Road Cape Elizabeth, ME 04107","'7 Fieldstone Road Cape Elizabeth, ME 04107',"
926,R0800113P000,50,FIELDWAYS LANE,S8030R,"669,500.00",0.08%,"47,600.00","$7,365.00","621,900.00","$13,893.00","-$6,529.00",-47%,DOWN,"50 Fieldways Lane Cape Elizabeth, ME 04107","'50 Fieldways Lane Cape Elizabeth, ME 04107',"
###,R08001012000,44-46,FIELDWAYS LANE,S5019R,"1,013,600.00",0.87%,"471,300.00","$11,150.00","542,300.00","$12,115.00",-$965.00,-8%,DOWN,"44-46 Fieldways Lane Cape Elizabeth, ME 04107","'44-46 Fieldways Lane Cape Elizabeth, ME 04107',"
###,R08001013000,50,FIELDWAYS LANE,S5094R,"574,700.00",0.88%,"268,400.00","$6,322.00","306,300.00","$6,843.00",-$521.00,-8%,DOWN,"50 Fieldways Lane Cape Elizabeth, ME 04107","'50 Fieldways Lane Cape Elizabeth, ME 04107',"
###,U03041000000,31,FOREST ROAD,W0480R,"892,000.00",0.81%,"398,200.00","$9,537.00","493,800.00","$11,031.00","-$1,494.00",-14%,DOWN,"31 Forest Road Cape Elizabeth, ME 04107","'31 Forest Road Cape Elizabeth, ME 04107',"
###,U03050000000,24,FOREST ROAD,L0300R,"898,500.00",0.97%,"442,000.00","$9,884.00","456,500.00","$10,198.00",-$315.00,-3%,ABOUT SAME,"24 Forest Road Cape Elizabeth, ME 04107","'24 Forest Road Cape Elizabeth, ME 04107',"
498,U03055000000,32,FOREST ROAD,T0306R,"934,500.00",1.12%,"493,700.00","$10,005.00","440,800.00","$9,847.00",$157.00,2%,ABOUT SAME,"32 Forest Road Cape Elizabeth, ME 04107","'32 Forest Road Cape Elizabeth, ME 04107',"
###,U03005000000,9,FOREST ROAD,S0318R,"1,038,700.00",1.07%,"535,800.00","$11,426.00","502,900.00","$11,235.00",$191.00,2%,ABOUT SAME,"9 Forest Road Cape Elizabeth, ME 04107","'9 Forest Road Cape Elizabeth, ME 04107',"
131,U03052000000,30,FOREST ROAD,P1118R,"947,100.00",1.08%,"490,900.00","$10,418.00","456,200.00","$10,192.00",$227.00,2%,ABOUT SAME,"30 Forest Road Cape Elizabeth, ME 04107","'30 Forest Road Cape Elizabeth, ME 04107',"
###,U03040000000,37,FOREST ROAD,B2878R,"765,400.00",1.20%,"416,800.00","$8,419.00","348,600.00","$7,788.00",$632.00,8%,UP,"37 Forest Road Cape Elizabeth, ME 04107","'37 Forest Road Cape Elizabeth, ME 04107',"
###,U03043000000,21,FOREST ROAD,D0160R,"750,100.00",1.30%,"423,900.00","$7,976.00","326,200.00","$7,287.00",$689.00,9%,UP,"21 Forest Road Cape Elizabeth, ME 04107","'21 Forest Road Cape Elizabeth, ME 04107',"
###,U03039000000,39,FOREST ROAD,P0027R,"780,800.00",1.30%,"441,900.00","$8,314.00","338,900.00","$7,571.00",$743.00,10%,UP,"39 Forest Road Cape Elizabeth, ME 04107","'39 Forest Road Cape Elizabeth, ME 04107',"
107,U03042000000,27,FOREST ROAD,C2010R,"732,800.00",1.44%,"432,600.00","$7,786.00","300,200.00","$6,706.00","$1,079.00",16%,UP,"27 Forest Road Cape Elizabeth, ME 04107","'27 Forest Road Cape Elizabeth, ME 04107',"
###,U03107000000,46,FOREST ROAD,G0726R,"815,500.00",1.42%,"479,200.00","$8,696.00","336,300.00","$7,513.00","$1,183.00",16%,UP,"46 Forest Road Cape Elizabeth, ME 04107","'46 Forest Road Cape Elizabeth, ME 04107',"
###,U03051000000,28,FOREST ROAD,N0114R,"741,900.00",1.50%,"445,200.00","$7,886.00","296,700.00","$6,628.00","$1,258.00",19%,UP,"28 Forest Road Cape Elizabeth, ME 04107","'28 Forest Road Cape Elizabeth, ME 04107',"
###,U03038000000,45,FOREST ROAD,A0680R,"613,200.00",1.57%,"374,800.00","$6,470.00","238,400.00","$5,326.00","$1,144.00",21%,UP,"45 Forest Road Cape Elizabeth, ME 04107","'45 Forest Road Cape Elizabeth, ME 04107',"
