Address,Neighborhood,Value 23,Value 24,Tax 23,Tax 24
"7 Running Tide Road Cape Elizabeth, ME 04107",U38,663500,1724500,14823,18695
"7 Russet Lane Cape Elizabeth, ME 04107",U35,196700,471800,4394,5190
"7 Salt Spray Lane Cape Elizabeth, ME 04107",U36,543600,1349200,12144,14841
"7 Scott Dyer Road Cape Elizabeth, ME 04107",U22,859200,1495400,19195,16306
"7 Sea View Avenue Cape Elizabeth, ME 04107",U02,392500,1163200,8768,12454
"7 Silva Drive Cape Elizabeth, ME 04107",U46,224700,567100,5020,5963
"7 Singles Road Cape Elizabeth, ME 04107",U08,1413600,2992100,31580,32913
"7 Smugglers Cove Road Cape Elizabeth, ME 04107",U10,426600,469200,9530,5161
"7 Southwell Road Cape Elizabeth, ME 04107",U33,214300,533200,4787,5590
"7 Spoondrift Lane Cape Elizabeth, ME 04107",U36,384900,1117300,8599,12290
"7 Starboard Drive Cape Elizabeth, ME 04107",U45,171400,321800,3829,3265
"7 State Avenue Cape Elizabeth, ME 04107",U28,155600,526200,3476,5513
"7 Steeplebush Road Cape Elizabeth, ME 04107",U58,595700,1541900,13308,16686
"7 Stephenson Street Cape Elizabeth, ME 04107",U29,274400,677600,6130,7179
"7 Stone Bridge Road Cape Elizabeth, ME 04107",U30,594600,1069800,13283,11493
"7 Susan Road Cape Elizabeth, ME 04107",U43,224400,558800,5013,6147
"7 Sweet Fern Road Cape Elizabeth, ME 04107",U19,169800,482700,3793,5035
"7 Sweetsir Road Cape Elizabeth, ME 04107",U19,358400,878100,8007,9384
"7 Tall Pine Road Cape Elizabeth, ME 04107",U23,229200,536000,5120,5621
"7 Tanager Lane Cape Elizabeth, ME 04107",R04,293600,746200,6559,8142
"7 Tiger Lily Lane Cape Elizabeth, ME 04107",U60,948700,1723200,21194,18955
"7 Todd Road Cape Elizabeth, ME 04107",U10,315700,708400,7053,7792
"7 Tote Road Cape Elizabeth, ME 04107",U27,410100,877000,9162,9372
"7 Valley Road Cape Elizabeth, ME 04107",U27,331400,630600,7403,6937
"7 Wabun Road Cape Elizabeth, ME 04107",U12,275500,649400,6155,7143
"7 Wainwright Drive Cape Elizabeth, ME 04107",U52,471300,996200,10529,10617
"7 Warbler Drive Cape Elizabeth, ME 04107",R04,305700,782800,6829,8336
"7 Wentworth Road Cape Elizabeth, ME 04107",U18,266600,647900,5956,6852
"7 Westfield Road Cape Elizabeth, ME 04107",U42,217500,524700,4859,5497
"7 Wildwood Drive Cape Elizabeth, ME 04107",U24,216000,597700,4825,6300
"7 Wilton Lane Cape Elizabeth, ME 04107",U28,222200,539100,4964,5655
"7 Winding Way Cape Elizabeth, ME 04107",U38,562000,1363500,12555,14999
"7 Winslow Place Cape Elizabeth, ME 04107",U30,172200,364400,3847,4008
"8 Abaco Drive Cape Elizabeth, ME 04107",U33,487100,1162700,10882,12790
"8 Alexander Drive Cape Elizabeth, ME 04107",R04,406600,911000,9083,9746
"8 Algonquin Road Cape Elizabeth, ME 04107",U12,334500,722800,7473,7676
"8 Apple Tree Lane Cape Elizabeth, ME 04107",U58,510800,1064000,11411,11429
"8 Arrow Point Road Cape Elizabeth, ME 04107",U04,349000,988900,7797,10878
"8 Aster Lane Cape Elizabeth, ME 04107",U49,423400,1048900,9459,11081
"8 Avon Road Cape Elizabeth, ME 04107",U12,379500,803000,8478,8558
"8 Bay View Road Cape Elizabeth, ME 04107",U03,392300,1130600,8764,12162
"8 Beach Bluff Terrace Cape Elizabeth, ME 04107",U10,266000,712400,5942,7836
"8 Beverly Terrace Cape Elizabeth, ME 04107",U28,232800,523600,5201,5485
"8 Blueberry Road Cape Elizabeth, ME 04107",U34,419400,797800,9369,8776
"8 Broad Cove Road Cape Elizabeth, ME 04107",U18,418800,956900,9356,10251
"8 Canterbury Way Cape Elizabeth, ME 04107",U29,378400,638200,8453,6745
"8 Cape Woods Drive Cape Elizabeth, ME 04107",U33,241600,559000,5397,5874
"8 Carriage Hill Road Cape Elizabeth, ME 04107",U42,313400,685100,7001,7261
"8 Channel View Road Cape Elizabeth, ME 04107",U38,368600,992900,8235,10922
"8 Charles Road Cape Elizabeth, ME 04107",U01,190600,606400,4258,6670
"8 Cherry Circle Cape Elizabeth, ME 04107",U35,232000,536300,5183,5624
"8 Cheverus Road Cape Elizabeth, ME 04107",U33,142300,486700,3179,5079
"8 Clinton Road Cape Elizabeth, ME 04107",U24,203900,494700,4555,5442
"8 Cole Field Cape Elizabeth, ME 04107",U53,522200,1237700,11666,13615
"8 Cottage Farms Road Cape Elizabeth, ME 04107",U03,310300,806100,6932,8592
"8 Cove View Road Cape Elizabeth, ME 04107",U56,143600,397300,3208,4370
"8 Crescent View Ave Cape Elizabeth, ME 04107",U16,294000,655400,6568,7209
"8 Cross Hill Road Cape Elizabeth, ME 04107",U58,598000,1319300,13359,14512
"8 Davcarley Road Cape Elizabeth, ME 04107",U25,180700,548100,4037,5754
"8 Dean Way Cape Elizabeth, ME 04107",U18,266000,621100,5942,6832
"8 Dipper Road Cape Elizabeth, ME 04107",R04,319900,776500,7147,8267
"8 Dyer Lane Cape Elizabeth, ME 04107",U15,744600,1972400,16634,21421
"8 Dyer Pond Road Cape Elizabeth, ME 04107",U51,741700,1877500,16570,20653
"8 Eastfield Road Cape Elizabeth, ME 04107",U42,269200,668400,6014,7352
"8 Eastman Road Cape Elizabeth, ME 04107",U27,210200,510200,4696,5612
"8 Elmwood Road Cape Elizabeth, ME 04107",U03,274300,893000,6128,9823
"8 Evergreen Circle Cape Elizabeth, ME 04107",U35,261000,533300,5831,5591
"8 Farm Hill Road Cape Elizabeth, ME 04107",U21,194700,464200,4350,5106
"8 Farms Edge Road Cape Elizabeth, ME 04107",U53,437700,964600,9778,10336
"8 Fenway Road Cape Elizabeth, ME 04107",U44,249900,562900,5583,6192
"8 Fox Hill Road Cape Elizabeth, ME 04107",U24,606100,841700,13540,9259
"8 Gladys Road Cape Elizabeth, ME 04107",U19,262400,566300,5862,5954
"8 Golden Ridge Lane Cape Elizabeth, ME 04107",U17,685000,1874000,15302,20064
"8 Granite Ridge Road Cape Elizabeth, ME 04107",U50,1316000,2482000,29400,26752
"8 Great Pond Drive Cape Elizabeth, ME 04107",R06,349600,707200,7810,7780
"8 Hamlin Street Cape Elizabeth, ME 04107",U29,668600,1541800,14936,16410
"8 Hampton Road Cape Elizabeth, ME 04107",U19,440800,1069400,9848,11214
"8 Hannaford Cove Road Cape Elizabeth, ME 04107",U40,313400,708100,7001,7789
"8 Headland Lane Cape Elizabeth, ME 04107",U49,368400,710400,8230,7814
"8 Hermit Thrush Road Cape Elizabeth, ME 04107",U04,219700,710900,4908,7545
"8 Hunts Point Road Cape Elizabeth, ME 04107",U38,620400,1678900,13860,18193
"8 Ivie Road Cape Elizabeth, ME 04107",U04,401000,994500,8958,10665
"8 Jewett Road Cape Elizabeth, ME 04107",U19,268200,612700,5992,6465
"8 Katahdin Road Cape Elizabeth, ME 04107",U12,371500,843900,8299,8942
"8 Kettle Cove Road Cape Elizabeth, ME 04107",U16,434700,932500,9711,9983
"8 Leighton Farm Road Cape Elizabeth, ME 04107",R05,495500,1067500,11069,11407
"8 Lighthouse Point Road Cape Elizabeth, ME 04107",U15,454700,1387600,10158,15264
"8 Linwood Street Cape Elizabeth, ME 04107",U34,211400,575600,4723,6332
"8 Littlejohn Road Cape Elizabeth, ME 04107",U06,421200,951900,9410,10196
"8 Locksley Road Cape Elizabeth, ME 04107",U06,316500,677900,7071,7457
"8 Longfellow Drive Cape Elizabeth, ME 04107",U21,178300,529000,3983,5544
"8 Lydon Lane Cape Elizabeth, ME 04107",U33,521100,1322500,11641,14548
"8 Maiden Cove Lane Cape Elizabeth, ME 04107",U05,1232800,2860400,27541,31464
"8 Maxwell Woods Drive Cape Elizabeth, ME 04107",U29,354400,933800,7917,9997
"8 Mcauley Road Cape Elizabeth, ME 04107",U49,220400,552400,4924,5801
"8 Mckenney Point Road Cape Elizabeth, ME 04107",U41,448600,1006300,10022,11069
"8 Meadow Way Cape Elizabeth, ME 04107",U21,177100,457900,3956,4762
"8 Mountain View Road Cape Elizabeth, ME 04107",U03,433600,1000100,9687,11001
"8 Oakview Drive Cape Elizabeth, ME 04107",U25,146900,336500,3282,3427
"8 Oakwood Road Cape Elizabeth, ME 04107",U24,239000,513300,5339,5371
"8 Ocean Avenue Cape Elizabeth, ME 04107",U17,291900,666000,6521,7326
"8 Olde Fort Road Cape Elizabeth, ME 04107",U06,496600,949200,11094,10166
"8 Orchard Road Cape Elizabeth, ME 04107",U21,204800,489100,4575,5380
"8 Ottawa Road Cape Elizabeth, ME 04107",U02,467200,910100,10437,10011
"8 Patricia Drive Cape Elizabeth, ME 04107",U35,307500,551900,6870,6071
"8 Peabbles Cove Road Cape Elizabeth, ME 04107",U42,512600,959400,11451,10553
"8 Pearl Street Cape Elizabeth, ME 04107",U22,126700,244500,2830,2470
"8 Phoebes Way Cape Elizabeth, ME 04107",R04,268600,763900,6001,8128
"8 Pine Point Road Cape Elizabeth, ME 04107",U35,329700,594700,7365,6542
"8 Pine Ridge Road Cape Elizabeth, ME 04107",U36,420100,1069900,9385,11769
"8 Pleasant Avenue Cape Elizabeth, ME 04107",U27,214200,530300,4785,5833
"8 Pond View Road Cape Elizabeth, ME 04107",U18,237400,538000,5304,5918
"8 Prout Place Cape Elizabeth, ME 04107",U53,749400,1928400,16742,20937
"8 Ramble Road Cape Elizabeth, ME 04107",U23,312600,781100,6983,8251
"8 Reef Road Cape Elizabeth, ME 04107",U13,472000,929000,10544,9944
"8 Robinhood Road Cape Elizabeth, ME 04107",U06,123200,276400,2752,3040
"8 Rock Wall Lane Cape Elizabeth, ME 04107",U04,533200,1115900,11912,12275
"8 Rosewood Drive Cape Elizabeth, ME 04107",U34,485100,904800,10837,9678
"8 Roundabout Lane Cape Elizabeth, ME 04107",U36,417600,987800,9329,10591
"8 Russet Lane Cape Elizabeth, ME 04107",U35,284500,569600,6356,6266
"8 Salt Spray Lane Cape Elizabeth, ME 04107",U36,1054900,2700900,23566,29435
"8 Sea Barn Road Cape Elizabeth, ME 04107",U08,1292300,3081000,28870,33616
"8 Sea Star Lane Cape Elizabeth, ME 04107",R02,242700,596900,5422,6566
"8 Sea View Avenue Cape Elizabeth, ME 04107",U02,584500,1541600,13058,16683
"8 Silva Drive Cape Elizabeth, ME 04107",U46,204400,504400,4566,5273
"8 Smugglers Cove Road Cape Elizabeth, ME 04107",U10,408300,699100,9121,7415
"8 Spoondrift Lane Cape Elizabeth, ME 04107",U36,483100,1165600,10792,12822
"8 State Avenue Cape Elizabeth, ME 04107",U28,176500,509100,3943,5325
"8 Steeplebush Road Cape Elizabeth, ME 04107",U58,580600,1336100,12971,14356
"8 Stonybrook Road Cape Elizabeth, ME 04107",U03,564200,1263400,12604,13897
"8 Surf Road Cape Elizabeth, ME 04107",U05,488100,1268300,10904,13676
"8 Surf Side Avenue Cape Elizabeth, ME 04107",U12,1364200,2664300,30476,29307
"8 Susan Road Cape Elizabeth, ME 04107",U43,217600,544600,4861,5991
"8 Sweet Fern Road Cape Elizabeth, ME 04107",U19,263400,662100,5884,7008
"8 Tanager Lane Cape Elizabeth, ME 04107",R04,279900,767800,6253,8171
"8 Tiger Lily Lane Cape Elizabeth, ME 04107",U60,841300,1799900,18795,19524
"8 Two Lights Terrace Cape Elizabeth, ME 04107",U15,575500,944100,12857,10110
"8 Wabun Road Cape Elizabeth, ME 04107",U12,358100,811600,8000,8653
"8 Waterhouse Road Cape Elizabeth, ME 04107",U29,198800,525000,4441,5775
"8 Waumbek Road Cape Elizabeth, ME 04107",U12,307800,695500,6876,7651
"8 Westfield Road Cape Elizabeth, ME 04107",U42,279300,551100,6240,6062
"8 Whale Back Way Cape Elizabeth, ME 04107",R03,626200,1573200,13989,17030
"8 Wildwood Drive Cape Elizabeth, ME 04107",U24,286700,588800,6405,6202
"8 Winslow Place Cape Elizabeth, ME 04107",U30,182200,351000,4070,3861
"8 Winter Lane Cape Elizabeth, ME 04107",R08,800,1600,18,18
"8 Woodcrest Road Cape Elizabeth, ME 04107",U04,390100,955500,8715,10236
"8 Woods Knoll Drive Cape Elizabeth, ME 04107",R02,626300,1674500,13992,18420
"9 Abaco Drive Cape Elizabeth, ME 04107",U33,472100,1170800,10547,12604
"9 Algonquin Road Cape Elizabeth, ME 04107",U12,254900,742300,5694,7890
"9 Apple Tree Lane Cape Elizabeth, ME 04107",U58,416600,887200,9307,9759
"9 Avon Road Cape Elizabeth, ME 04107",U12,488800,1055000,10920,11330
"9 Bayberry Lane Cape Elizabeth, ME 04107",U19,288500,620100,6445,6546
"9 Beach Bluff Terrace Cape Elizabeth, ME 04107",U10,262400,725400,5862,7611
"9 Beacon Lane Cape Elizabeth, ME 04107",U15,391700,696400,8751,7660
"9 Birch Knolls Cape Elizabeth, ME 04107",U05,1021900,2497100,22829,27193
"9 Blueberry Road Cape Elizabeth, ME 04107",U34,322600,711200,7207,7548
"9 Bridlepath Way Cape Elizabeth, ME 04107",U06,320900,784800,7169,8358
"9 Canterbury Way Cape Elizabeth, ME 04107",U29,285500,580300,6378,6108
"9 Cap Elliot Road Cape Elizabeth, ME 04107",U40,345700,970700,7723,10678
"9 Cape Woods Drive Cape Elizabeth, ME 04107",U33,264200,547900,5902,5961
"9 Cedar Ledge Road Cape Elizabeth, ME 04107",U04,415700,891400,9287,9530
"9 Channel View Road Cape Elizabeth, ME 04107",U38,469300,1125400,10484,12104
"9 Charles Road Cape Elizabeth, ME 04107",U01,209400,678000,4678,7458
"9 Cheverus Road Cape Elizabeth, ME 04107",U33,191500,542100,4278,5688
"9 Clinton Road Cape Elizabeth, ME 04107",U24,232900,473500,5203,5209
"9 Cottage Lane Cape Elizabeth, ME 04107",U05,726000,1464700,16219,15837
"9 Cragmoor Cape Elizabeth, ME 04107",U02,1494600,2699700,33389,29422
"9 Crescent View Ave Cape Elizabeth, ME 04107",U16,337100,768500,7531,8179
"9 Cross Hill Road Cape Elizabeth, ME 04107",U58,554200,1354500,12381,14625
"9 Dean Way Cape Elizabeth, ME 04107",U18,229400,622600,5125,6574
"9 Eastfield Road Cape Elizabeth, ME 04107",U42,267300,685300,5971,7538
"9 Elmwood Road Cape Elizabeth, ME 04107",U03,216600,721800,4839,7940
"9 Farm Hill Road Cape Elizabeth, ME 04107",U21,186100,478000,4157,4983
"9 Fenway Road Cape Elizabeth, ME 04107",U44,232800,531100,5201,5842
"9 Forest Road Cape Elizabeth, ME 04107",U03,502900,1038700,11235,11426
"9 Gladys Road Cape Elizabeth, ME 04107",U19,289900,649900,6476,6874
"9 Glen Avenue Cape Elizabeth, ME 04107",U02,312200,752600,6975,8004
"9 Golden Ridge Lane Cape Elizabeth, ME 04107",U17,254200,1046000,5678,11506
"9 Granite Ridge Road Cape Elizabeth, ME 04107",U50,1180000,2013800,26362,21602
"9 Great Pond Drive Cape Elizabeth, ME 04107",R06,318600,689200,7118,6900
"9 Grover Road Cape Elizabeth, ME 04107",U20,388000,958000,8668,10538
"9 Hamlin Street Cape Elizabeth, ME 04107",U29,886800,1372200,19812,15094
"9 Hampton Road Cape Elizabeth, ME 04107",U19,519000,1233800,11594,13022
"9 Hannaford Cove Road Cape Elizabeth, ME 04107",U40,518900,1174400,11592,12918
"9 Headland Lane Cape Elizabeth, ME 04107",U49,410300,710400,9166,7539
"9 Hemlock Hill Road Cape Elizabeth, ME 04107",U33,463600,795500,10357,8476
"9 Hermit Thrush Road Cape Elizabeth, ME 04107",U04,344300,815300,7692,8627
"9 High Bluff Road Cape Elizabeth, ME 04107",U04,410500,994100,9171,10594
"9 High View Road Cape Elizabeth, ME 04107",U42,331300,713200,7401,7845
"9 Hunts Point Road Cape Elizabeth, ME 04107",U38,556400,1620200,12430,17547
"9 Ironclad Road Cape Elizabeth, ME 04107",U08,692400,1237300,15468,13610
"9 Ivie Road Cape Elizabeth, ME 04107",U04,403000,1016900,9003,10911
"9 Jewett Road Cape Elizabeth, ME 04107",U19,196300,513000,4385,5368
"9 Juniper Lane Cape Elizabeth, ME 04107",U23,234900,542800,5248,5971
"9 Katahdin Road Cape Elizabeth, ME 04107",U12,363100,782200,8112,8604
"9 Ledgewood Lane Cape Elizabeth, ME 04107",U36,545800,1675300,12193,18428
"9 Leighton Farm Road Cape Elizabeth, ME 04107",R05,556400,1022100,12430,11243
"9 Linwood Street Cape Elizabeth, ME 04107",U34,252200,582400,5634,6406
"9 Little Pond Lane Cape Elizabeth, ME 04107",R09,188500,282400,4211,3106
"9 Longfellow Drive Cape Elizabeth, ME 04107",U21,161300,455400,3603,4734
"9 Maiden Cove Lane Cape Elizabeth, ME 04107",U05,1430000,3950900,31946,43185
"9 Maxwell Woods Drive Cape Elizabeth, ME 04107",U29,371600,894300,8302,9837
"9 Meadow Way Cape Elizabeth, ME 04107",U21,207700,493600,4640,5430
"9 Oakview Drive Cape Elizabeth, ME 04107",U25,169100,349300,3778,3842
"9 Oakwood Road Cape Elizabeth, ME 04107",U24,257900,589800,5761,6213
"9 Ocean House Road Cape Elizabeth, ME 04107",U28,350600,986000,7832,10846
"9 Odyssey Lane Cape Elizabeth, ME 04107",R09,2579200,5550000,57620,61050
"9 Olde Colony Lane Cape Elizabeth, ME 04107",U09,396000,753300,8847,8011
"9 Olde Fort Road Cape Elizabeth, ME 04107",U06,318800,814500,7122,8960
"9 Orchard Road Cape Elizabeth, ME 04107",U21,176700,449100,3947,4665
"9 Overlook Lane Cape Elizabeth, ME 04107",U12,719000,1086400,16062,11950
"9 Peabbles Cove Road Cape Elizabeth, ME 04107",R03,28500,205500,637,2261
"9 Penwood Circle Cape Elizabeth, ME 04107",U35,239000,574700,5339,6322
"9 Peppergrass Road Cape Elizabeth, ME 04107",U60,1580400,2534500,35306,27605
"9 Pheasant Hill Road Cape Elizabeth, ME 04107",R04,373600,691800,8346,7610
"9 Pilot Point Road Cape Elizabeth, ME 04107",U12,381400,811800,8520,8930
"9 Pine Point Road Cape Elizabeth, ME 04107",U35,359500,660500,8031,7266
"9 Pleasant Avenue Cape Elizabeth, ME 04107",U27,216600,522200,4839,5744
"9 Pond View Road Cape Elizabeth, ME 04107",U18,286000,630100,6389,6656
"9 Rand Road Cape Elizabeth, ME 04107",U22,190900,550200,4265,5777
"9 Reef Road Cape Elizabeth, ME 04107",U13,481300,959300,10752,10277
"9 Robinhood Road Cape Elizabeth, ME 04107",U06,395900,1045800,8844,11168
"9 Rock Crest Drive Cape Elizabeth, ME 04107",U57,766400,1789100,17121,19405
"9 Rocky Hill Road Cape Elizabeth, ME 04107",U04,386000,1040100,8623,11166
"9 Rocky Knoll Road Cape Elizabeth, ME 04107",U04,313200,848300,6997,9056
"9 Rocky Point Lane Cape Elizabeth, ME 04107",U14,441500,1271100,9863,13982
"9 Roundabout Lane Cape Elizabeth, ME 04107",U36,386500,1026000,8634,11286
"9 Running Tide Road Cape Elizabeth, ME 04107",U38,748100,1322000,16713,14542
"9 Salt Spray Lane Cape Elizabeth, ME 04107",U36,332300,893200,7424,9550
"9 Scott Dyer Road Cape Elizabeth, ME 04107",U22,340500,703500,7607,7464
"9 Smugglers Cove Road Cape Elizabeth, ME 04107",U10,542100,1044700,12111,11492
"9 Spoondrift Lane Cape Elizabeth, ME 04107",U36,354600,1042700,7922,11195
"9 Spruce Lane Cape Elizabeth, ME 04107",U36,495000,1298200,11058,14005
"9 Star Road Cape Elizabeth, ME 04107",U22,270400,565200,6041,6217
"9 Starboard Drive Cape Elizabeth, ME 04107",U45,164300,320000,3670,3520
"9 State Avenue Cape Elizabeth, ME 04107",U28,152900,462700,3416,4815
"9 Steeplebush Road Cape Elizabeth, ME 04107",U58,476500,1190500,10645,12821
"9 Surf Road Cape Elizabeth, ME 04107",U05,476000,1191200,10634,12828
"9 Susan Road Cape Elizabeth, ME 04107",U43,235900,535200,5270,5887
"9 Sweetsir Road Cape Elizabeth, ME 04107",U19,228900,613500,5114,6474
"9 Tanager Lane Cape Elizabeth, ME 04107",R04,291200,743000,6505,8173
"9 Thrasher Road Cape Elizabeth, ME 04107",U32,264100,550800,5900,5784
"9 Trundy Road Cape Elizabeth, ME 04107",U42,271300,718700,6061,7565
"9 Wabun Road Cape Elizabeth, ME 04107",U12,357100,850300,7978,9012
"9 Wainwright Drive Cape Elizabeth, ME 04107",U52,756900,1244500,16909,13690
"9 Waterhouse Road Cape Elizabeth, ME 04107",U29,204100,518100,4560,5424
"9 Waumbek Road Cape Elizabeth, ME 04107",U12,637800,1459400,14248,16053
"9 Westfield Road Cape Elizabeth, ME 04107",U42,341600,565300,7631,6218
"9 Wildwood Drive Cape Elizabeth, ME 04107",U24,249000,561500,5563,5902
"9 Wilton Lane Cape Elizabeth, ME 04107",U28,183000,477800,4088,4981
"9 Winslow Place Cape Elizabeth, ME 04107",U30,233500,388600,5216,4000
"9 Wood Road Cape Elizabeth, ME 04107",U04,332400,882700,7426,9710
"9 Woodcrest Road Cape Elizabeth, ME 04107",U04,293600,793500,6559,8454
"10 Abaco Drive Cape Elizabeth, ME 04107",U33,560000,1172600,12510,12624
"10 Alexander Drive Cape Elizabeth, ME 04107",R04,467800,764300,10451,8132
"10 Algonquin Road Cape Elizabeth, ME 04107",U12,428200,839800,9566,9238
"10 Angell Point Road Cape Elizabeth, ME 04107",U41,492500,865500,11002,9246
"10 Apple Tree Lane Cape Elizabeth, ME 04107",U58,411700,1043000,9197,11165
"10 Aster Lane Cape Elizabeth, ME 04107",U49,385000,814400,8601,8958
"10 Avon Road Cape Elizabeth, ME 04107",U12,431500,846000,9640,9031
"10 Beacon Lane Cape Elizabeth, ME 04107",U15,180400,469200,4030,5161
"10 Belfield Road Cape Elizabeth, ME 04107",U30,532000,1109600,11885,12206
"10 Beverly Terrace Cape Elizabeth, ME 04107",U28,210400,540400,4700,5669
"10 Birch Knolls Cape Elizabeth, ME 04107",U05,565000,1735000,12622,19085
"10 Blueberry Road Cape Elizabeth, ME 04107",U34,370700,766000,8281,8426
"10 Brentwood Road Cape Elizabeth, ME 04107",U35,304700,592800,6807,6246
"10 Bridlepath Way Cape Elizabeth, ME 04107",U06,353100,821100,7888,9032
"10 Broad Cove Road Cape Elizabeth, ME 04107",U18,496500,1082700,11092,11442
"10 Brownstone Lane Cape Elizabeth, ME 04107",U33,450300,810000,10060,8635
"10 Campion Road Cape Elizabeth, ME 04107",U33,226400,545600,5058,5727
"10 Canterbury Way Cape Elizabeth, ME 04107",U29,386800,702700,8641,7389
"10 Cape Woods Drive Cape Elizabeth, ME 04107",U33,242800,536300,5424,5624
"10 Chambers Road Cape Elizabeth, ME 04107",U24,219700,505600,4908,5287
"10 Channel View Road Cape Elizabeth, ME 04107",U38,381200,953500,8516,10214
"10 Cheverus Road Cape Elizabeth, ME 04107",U33,192100,507000,4292,5302
"10 Clinton Road Cape Elizabeth, ME 04107",U24,424000,728500,9472,7739
"10 Cottage Lane Cape Elizabeth, ME 04107",U05,471000,1283400,10522,14117
"10 Cragmoor Cape Elizabeth, ME 04107",U02,344400,92700,7694,1020
"10 Crescent View Ave Cape Elizabeth, ME 04107",U16,348000,747600,7774,8224
"10 Cross Hill Road Cape Elizabeth, ME 04107",U58,509800,1473200,11389,16205
"10 Dawe Road Cape Elizabeth, ME 04107",U27,233700,571000,5221,6006
"10 Dean Way Cape Elizabeth, ME 04107",U18,312900,675900,6990,7435
"10 Deep Brook Road Cape Elizabeth, ME 04107",U06,398900,780300,8911,8308
"10 Dyer Pond Road Cape Elizabeth, ME 04107",U51,969300,1420000,21654,15345
"10 Eastfield Road Cape Elizabeth, ME 04107",U42,258200,652400,5768,6901
"10 Elmwood Road Cape Elizabeth, ME 04107",U03,278300,830600,6217,8862
"10 Evergreen Circle Cape Elizabeth, ME 04107",U35,268500,616200,5998,6503
"10 Farm Hill Road Cape Elizabeth, ME 04107",U21,218900,529500,4890,5550
"10 Fenway Road Cape Elizabeth, ME 04107",U44,267000,680600,5965,7212
"10 Fieldstone Road Cape Elizabeth, ME 04107",U23,293900,613800,6566,6477
"10 Gladys Road Cape Elizabeth, ME 04107",U19,202100,533200,4515,5590
"10 Glen Avenue Cape Elizabeth, ME 04107",U02,290100,773300,6481,8231
"10 Golden Ridge Lane Cape Elizabeth, ME 04107",U17,1030200,989000,23014,10880
"10 Great Pond Drive Cape Elizabeth, ME 04107",R06,329400,703600,7358,7190
"10 Hamlin Street Cape Elizabeth, ME 04107",U29,816600,1690000,18242,18590
"10 Hampton Road Cape Elizabeth, ME 04107",U19,547800,1188000,12238,13068
"10 Hannaford Cove Road Cape Elizabeth, ME 04107",U40,290000,623500,6479,6584
"10 Headland Lane Cape Elizabeth, ME 04107",U49,391000,691600,8735,7333
"10 Hemlock Hill Road Cape Elizabeth, ME 04107",U33,320000,693100,7149,7349
"10 High View Road Cape Elizabeth, ME 04107",U42,284400,687400,6353,7561
"10 Hill Way Cape Elizabeth, ME 04107",U22,2903600,2015300,64866,22168
"10 Hillcrest Drive Cape Elizabeth, ME 04107",U10,300700,760000,6718,8085
"10 Hunts Point Road Cape Elizabeth, ME 04107",U38,565200,1835500,12627,20191
"10 Jewett Road Cape Elizabeth, ME 04107",U19,190600,551400,4258,5790
"10 Jordan Farm Road Cape Elizabeth, ME 04107",U55,726600,1800300,16232,19528
"10 Kettle Cove Road Cape Elizabeth, ME 04107",U16,201400,689000,4499,7194
"10 Killdeer Road Cape Elizabeth, ME 04107",U32,229100,541100,5118,5952
"10 Lawson Road Cape Elizabeth, ME 04107",U08,763600,1684900,17059,18534
"10 Ledgewood Lane Cape Elizabeth, ME 04107",U36,391200,1005700,8739,10788
"10 Leighton Farm Road Cape Elizabeth, ME 04107",R05,451200,911900,10080,9690
"10 Lighthouse Point Road Cape Elizabeth, ME 04107",U15,591700,1249200,13219,13741
"10 Locksley Road Cape Elizabeth, ME 04107",U06,386300,937000,8630,10307
"10 Longfellow Drive Cape Elizabeth, ME 04107",U21,166400,471400,3717,4910
"10 Manor Way Cape Elizabeth, ME 04107",U30,592900,1283200,13245,14115
"10 Mares Hollow Lane Cape Elizabeth, ME 04107",U15,2478100,4738500,55361,51849
"10 Maxwell Woods Drive Cape Elizabeth, ME 04107",U29,394600,852400,8815,9035
"10 Mckenney Point Road Cape Elizabeth, ME 04107",U41,685200,1514700,15307,16343
"10 Meadow Way Cape Elizabeth, ME 04107",U21,194700,470100,4350,4830
"10 Murray Drive Cape Elizabeth, ME 04107",U22,376900,712100,8420,7558
"10 Oakview Drive Cape Elizabeth, ME 04107",U25,155600,339900,3476,3464
"10 Oakwood Road Cape Elizabeth, ME 04107",U24,270500,576300,6043,6064
"10 Ocean Avenue Cape Elizabeth, ME 04107",U17,697000,1278800,15571,14067
"10 Olde Fort Road Cape Elizabeth, ME 04107",U06,366900,833200,8197,8890
"10 Orchard Road Cape Elizabeth, ME 04107",U21,263700,520900,5891,5455
"10 Ottawa Road Cape Elizabeth, ME 04107",U02,22500,47900,503,527
"10 Peabbles Cove Road Cape Elizabeth, ME 04107",R03,689200,1615500,15397,17496
"10 Peabbles Point Lane Cape Elizabeth, ME 04107",R03,629000,2131300,14052,23444
"10 Pheasant Hill Road Cape Elizabeth, ME 04107",R04,362600,730000,8100,8030
"10 Philip Road Cape Elizabeth, ME 04107",U22,237100,530300,5297,5833
"10 Pilot Point Road Cape Elizabeth, ME 04107",U12,353700,727700,7902,7669
"10 Pine Point Road Cape Elizabeth, ME 04107",U35,285400,682100,6376,7503
"10 Pine Ridge Road Cape Elizabeth, ME 04107",U36,315600,1034600,7051,11018
"10 Pleasant Avenue Cape Elizabeth, ME 04107",U27,183200,516100,4093,5677
"10 Pond View Road Cape Elizabeth, ME 04107",U18,247500,568600,5529,6255
